#,x,y,E,Width,Length,Iterations
0.0,0.01,5.0,1641063.0,10,10,20000
0.0,3.5885868571491604,9.09006896431882,1482339.4487030457,,,
0.0,3.5910286582506576,9.074585751679741,1254061.9565876615,,,
1.0,0.01,5.0,1641063.0,,,
2.0,0.01,5.0,1641063.0,,,
2.0,2.5661855370435873,4.995323195370555,1648189.9706341054,,,
3.0,0.01,5.0,1641063.0,,,
4.0,0.01,5.0,1641063.0,,,
4.0,0.04578040376256742,5.003107342818908,1635804.958696272,,,
5.0,0.01,5.0,1641063.0,,,
5.0,0.0004301610276313088,5.241602458949885,1353429.5730894061,,,
6.0,0.01,5.0,1641063.0,,,
7.0,0.01,5.0,1641063.0,,,
8.0,0.01,5.0,1641063.0,,,
9.0,0.01,5.0,1641063.0,,,
10.0,0.01,5.0,1641063.0,,,
11.0,0.01,5.0,1641063.0,,,
12.0,0.01,5.0,1641063.0,,,
12.0,1.4948389234537172,5.8161821918108485,1264114.585942844,,,
13.0,0.01,5.0,1641063.0,,,
13.0,1.4558089803990582,4.404643335342998,1408215.4977412915,,,
13.0,2.3758320442147696,5.459885581334595,1271794.5335676402,,,
13.0,2.8218964610615633,4.513236138340272,1114548.9519921138,,,
14.0,0.01,5.0,1641063.0,,,
15.0,0.01,5.0,1641063.0,,,
15.0,1.5500699332275543,4.857257756892362,1634096.9365679692,,,
16.0,0.01,5.0,1641063.0,,,
16.0,1.2015364384651368,4.725203221033803,1564602.677348806,,,
17.0,0.01,5.0,1641063.0,,,
18.0,0.01,5.0,1641063.0,,,
19.0,0.01,5.0,1641063.0,,,
19.0,2.076629040544264,4.679542580174525,1609330.141970951,,,
20.0,0.01,5.0,1641063.0,,,
20.0,3.2028044871720462,3.265085710355519,1270867.1416319443,,,
20.0,7.343510001475967,3.822725586739027,1253556.06177067,,,
21.0,0.01,5.0,1641063.0,,,
21.0,7.445868267818196,9.986586858028469,1134712.866572212,,,
21.0,7.5235309552960175,8.616113071208439,947634.0606424556,,,
22.0,0.01,5.0,1641063.0,,,
23.0,0.01,5.0,1641063.0,,,
23.0,1.2440191916554268,4.7829181150857965,1598509.5737467082,,,
23.0,3.6088376800627433,5.916528769248082,1304186.0375058902,,,
24.0,0.01,5.0,1641063.0,,,
25.0,0.01,5.0,1641063.0,,,
26.0,0.01,5.0,1641063.0,,,
27.0,0.01,5.0,1641063.0,,,
27.0,3.1219042103111003,4.555170193765964,1615050.606910488,,,
28.0,0.01,5.0,1641063.0,,,
29.0,0.01,5.0,1641063.0,,,
29.0,1.1604677355357433,4.438827247065954,1330057.4915359775,,,
29.0,7.759227163518223,2.9506568032250406,1252034.8190454284,,,
30.0,0.01,5.0,1641063.0,,,
31.0,0.01,5.0,1641063.0,,,
32.0,0.01,5.0,1641063.0,,,
33.0,0.01,5.0,1641063.0,,,
