#,x,y,E,Width,Length,Iterations
0.0,0.01,5.0,1641063.0,10.0,10.0,10000.0
0.0,0.8897842130949879,5.715420280633358,989324.0721275989,,,
0.0,1.5734379670569194,5.331449909938531,754330.7230006214,,,
1.0,0.01,5.0,1641063.0,,,
1.0,4.753831572081993,4.524248791023225,1631713.0882952851,,,
1.0,9.7299163493599,4.420603995276073,1540855.1451215383,,,
2.0,0.01,5.0,1641063.0,,,
2.0,2.8805494513276106,5.0464655625643475,1647761.9162460451,,,
3.0,0.01,5.0,1641063.0,,,
4.0,0.01,5.0,1641063.0,,,
4.0,0.15428304958947853,5.04813955344743,1482389.4042484746,,,
4.0,6.551129100413439,3.5765018537153654,1413674.2721786322,,,
5.0,0.01,5.0,1641063.0,,,
5.0,4.7970259867719856,7.537657327027741,1285079.30696277,,,
6.0,0.01,5.0,1641063.0,,,
6.0,1.4658907876212834,3.0038457920410555,567693.3389942369,,,
6.0,1.9982016019051247,3.5707027575171506,265878.1773579507,,,
7.0,0.01,5.0,1641063.0,,,
7.0,0.20502857179390932,4.595036732988326,304542.46676054667,,,
8.0,0.01,5.0,1641063.0,,,
8.0,0.6084513221204145,5.113514232732605,1590710.016105068,,,
8.0,5.897092892533176,3.538686320238448,1466942.365382273,,,
8.0,6.528753863214102,3.8271520845615816,1217984.3302261813,,,
8.0,7.030176698654313,3.5140095150753448,1127695.874742739,,,
9.0,0.01,5.0,1641063.0,,,
10.0,0.01,5.0,1641063.0,,,
11.0,0.01,5.0,1641063.0,,,
11.0,2.9626227002889074,3.0527314794011042,1146469.1407284655,,,
11.0,5.769688501156031,4.508182770614086,906439.8073775308,,,
12.0,0.01,5.0,1641063.0,,,
12.0,4.225927965510684,7.636014422071396,1182965.4045200543,,,
13.0,0.01,5.0,1641063.0,,,
14.0,0.01,5.0,1641063.0,,,
15.0,0.01,5.0,1641063.0,,,
15.0,2.8317199469076026,1.1655291361737725,574404.7427101316,,,
16.0,0.01,5.0,1641063.0,,,
16.0,5.401684001184651,0.4612154040535872,1503049.8328007653,,,
17.0,0.01,5.0,1641063.0,,,
17.0,0.30908825670890694,5.030847728181979,1630772.7036421467,,,
17.0,5.323909364891267,6.121928976013542,1563515.6257569694,,,
18.0,0.01,5.0,1641063.0,,,
18.0,3.8613465810308587,9.485715625873123,695335.9727228566,,,
19.0,0.01,5.0,1641063.0,,,
19.0,0.29205959890887206,5.230101856619583,986776.0327212824,,,
20.0,0.01,5.0,1641063.0,,,
20.0,0.42146981567999103,5.142512019372613,1538663.721356684,,,
20.0,2.8788512781421933,7.476063151712204,809447.9326174934,,,
20.0,2.802194428495211,7.595486345120358,625405.8582876965,,,
20.0,4.078182993979346,7.992385165441272,587140.8901291649,,,
21.0,0.01,5.0,1641063.0,,,
21.0,0.5616820448124794,3.1264999675010063,1411461.533604703,,,
21.0,1.9538401109367198,2.129780532624874,935138.9399077168,,,
22.0,0.01,5.0,1641063.0,,,
22.0,3.284906909150291,2.0148898888288245,897026.6335330469,,,
22.0,6.998682155081156,5.445664999332761,818332.2409579923,,,
23.0,0.01,5.0,1641063.0,,,
23.0,0.9288534241555219,4.605899959867662,1391007.7819430844,,,
23.0,1.1665772515876547,4.7272196236911155,1107143.167312899,,,
23.0,4.999397763418805,2.013021892207052,738984.6029349254,,,
23.0,7.32931796126312,4.390675880435435,361948.8162101024,,,
24.0,0.01,5.0,1641063.0,,,
24.0,0.0655094077073879,4.912352946282238,466786.7681386204,,,
24.0,0.20279940584713363,5.159196136319565,412273.64893241774,,,
24.0,0.07651926604454809,5.137839672077744,300572.34378487477,,,
25.0,0.01,5.0,1641063.0,,,
25.0,3.427054983649842,3.7138286792194495,1442787.4842351475,,,
26.0,0.01,5.0,1641063.0,,,
26.0,0.11788970561420382,3.529002786878068,1373466.6762420721,,,
26.0,3.0878508519057375,1.8244565058191753,1274821.4994389694,,,
26.0,3.3054266426307906,1.926510698878428,1048479.6862961274,,,
26.0,5.400101569918257,0.23751139086686512,636359.6765477672,,,
27.0,0.01,5.0,1641063.0,,,
27.0,0.7192234847435098,3.3905238380591474,262053.00552880764,,,
28.0,0.01,5.0,1641063.0,,,
28.0,0.9669678138280906,4.91983908708258,1636662.0418982964,,,
28.0,1.2426244081736064,4.8049554078947,1399474.1037782372,,,
28.0,6.944867105583895,6.944364596170814,1231373.592358229,,,
28.0,7.03248260551191,6.880641549617382,807027.0420227696,,,
28.0,6.131364139641847,5.589408194038089,620932.431874834,,,
28.0,6.402612855191581,5.521149955759921,586332.4525110411,,,
28.0,6.415694501656886,6.166897515694837,487351.1659818885,,,
28.0,5.705924068244362,5.655919106183765,363466.8156252399,,,
29.0,0.01,5.0,1641063.0,,,
30.0,0.01,5.0,1641063.0,,,
31.0,0.01,5.0,1641063.0,,,
31.0,2.081629351379486,6.884774496391142,1498097.7795114887,,,
31.0,9.931816016813428,6.7107151731532015,1503866.4152836474,,,
32.0,0.01,5.0,1641063.0,,,
32.0,2.3096927369416402,2.6813520472521986,813768.450257773,,,
32.0,1.4661386966853458,1.8824589212953589,613703.2145988939,,,
33.0,0.01,5.0,1641063.0,,,
33.0,0.3869356655563592,5.282269595580187,1053467.0806586938,,,
33.0,0.6700462919205522,5.049262188531504,628943.4635566173,,,
34.0,0.01,5.0,1641063.0,,,
34.0,0.1394448273180321,4.848116829958709,689373.1883057533,,,
34.0,4.006615279618847,8.750645673782076,341535.15641285677,,,
35.0,0.01,5.0,1641063.0,,,
36.0,0.01,5.0,1641063.0,,,
37.0,0.01,5.0,1641063.0,,,
37.0,0.2905299655599266,5.018732811240394,1640847.3089470256,,,
37.0,2.086248471134998,5.228818634227918,1625631.745760081,,,
37.0,3.2712185688780733,5.693885795222408,1521410.1256519274,,,
38.0,0.01,5.0,1641063.0,,,
38.0,0.10303886055124264,4.8777989043662675,1472196.0196870626,,,
39.0,0.01,5.0,1641063.0,,,
39.0,0.05262811896009413,5.060855177010502,537778.7668442257,,,
39.0,1.3298498215104768,2.5868281476156,473286.2407380813,,,
40.0,0.01,5.0,1641063.0,,,
40.0,2.1297401029125735,4.586557031105483,1587533.4711283047,,,
40.0,3.8097639005778103,4.860294433084344,1553021.7609893584,,,
40.0,7.686544645149153,7.550011779394605,1050758.294753297,,,
41.0,0.01,5.0,1641063.0,,,
41.0,0.8011151437860285,5.13459998825598,1601627.9525602825,,,
41.0,5.889016674573356,4.885481217222117,1604725.416933665,,,
41.0,6.965446446052989,4.276293819902013,1219049.3477585427,,,
42.0,0.01,5.0,1641063.0,,,
42.0,3.059276780283007,4.856080814979467,1549503.9807524642,,,
42.0,9.258681497982035,7.1282774529412745,1371148.1571107002,,,
43.0,0.01,5.0,1641063.0,,,
43.0,3.4698265261725183,9.797632269585222,1468203.1246245848,,,
44.0,0.01,5.0,1641063.0,,,
44.0,1.7912718858830012,2.995850903197235,723439.270128855,,,
45.0,0.01,5.0,1641063.0,,,
45.0,3.7439480506121896,2.760334270962457,1210240.1981686063,,,
45.0,5.018820841627079,3.6810577701086835,797051.7652344275,,,
45.0,5.077562291497775,3.585467782287984,707417.0229298421,,,
45.0,5.917850917153924,4.3074795927867555,407434.08719329623,,,
46.0,0.01,5.0,1641063.0,,,
46.0,6.477463840238793,7.508744010254796,1431706.260378099,,,
46.0,7.037066979226805,7.345324839504834,1324454.200623522,,,
46.0,9.720162008998908,9.613505078777308,1212856.7170910302,,,
47.0,0.01,5.0,1641063.0,,,
47.0,6.048433371196863,7.465493372847575,1411678.2360230696,,,
47.0,6.202732704979435,7.441318468554912,1383698.7328282276,,,
47.0,8.383647848954933,9.239763209474257,824791.4803315485,,,
48.0,0.01,5.0,1641063.0,,,
48.0,1.402844504949265,6.809620792359537,1472996.0380993949,,,
49.0,0.01,5.0,1641063.0,,,
49.0,6.349845274577643,7.369302362664525,1445346.3680587579,,,
49.0,8.233473184031052,6.873590633328694,1357200.7271963311,,,
49.0,8.342954129989993,6.9496160815466865,917735.1979437306,,,
50.0,0.01,5.0,1641063.0,,,
51.0,0.01,5.0,1641063.0,,,
